图片ID,种族,职业,提示词
65,人类,战士,"human girl, silver hair, short hair, curly hair, centre parting bangs, ahoge, heart-shaped eyes, athletic build, (medium breasts:1.2), iron-blood scheme, torn plate armor, revealing chainmail, cut-out surcoat, longsword, scabbard, banner tassels, metal gorget, waist straps, exposed gauntlets, crest brooch, provocative battlefield accessories, war horn, fierce, standing, castle, flame light, epic, iron-blood scheme, looking_outside, medium_shot, from_side, turn_one's_back,"
66,人类,学者,"human girl, silver hair, short hair, messy hair, asymmetric bangs, feather accent, heart-shaped eyes, athletic build, (medium breasts:1.2), blue-gold color scheme, alluring librarian attire, scholarly vest, revealing chemise, archive tools, catalog books, magnifying lens, leather gloves, reading spectacles, book strap, academic jewelry, seductive intellectual ornaments, library seal, gentle, standing, library, candlelight, peaceful, blue-gold color scheme, looking_back, medium_shot, from_side, elegant composition,"
67,人类,商人,"human girl, (silver hair:1.2), silver to white gradient hair, short hair, forehead, crossed bangs, ahoge, brown eyes, athletic build, (medium breasts:1.2), gold-brown color scheme, maritime merchant attire, naval trade robes, shipping manifests, fleet documents, exotic goods, overseas treasures, sea charts, port authority seals, maritime jewelry, ocean trade badges, import certificates, cargo samples, smiling, standing, trading post, sunlight, busy, gold-brown color scheme, looking_back, cowboy_shot, from_below, aerial,"
68,人类,盗贼,"human girl, (silver hair:1.2), silver to white gradient hair, short hair, disheveled hair, delicate hair ornament, rainbow eyes, athletic build, (medium breasts:1.2), dark color scheme, assassin outfit, deadly hidden blades, poison vials, contract scrolls, target dossiers, silent kill tools, shadow walk accessories, death dealer ornaments, blood payment coins, elimination proof, lethal jewelry, quick escape gear, mysterious, sneaking, dark forest, shadow, mysterious, dark color scheme, stare, panorama, foreshortening, aerial,"
69,人类,教师,"human girl, (silver hair:1.2), silver to white gradient hair, short hair, forehead, centre parting bangs, streaked hair, rainbow eyes, athletic build, (medium breasts:1.2), scholarly beige scheme, transparent scholar robes, revealing academic gown, library attire, books, quill, scroll case, ribbon bookmarks, spectacles, chain necklace, cuffed sleeves, alluring scholarly accessories, pointer stick, encouraging, teaching pose, study chamber, study light, peaceful, scholarly beige scheme, looking_back, profile, from_below, elegant composition,"
70,人类,女仆,"human girl, silver hair, short hair, forehead, centre parting bangs, feather accent, heart-shaped eyes, athletic build, (medium breasts:1.2), classic maid scheme, aristocratic servant outfit, luxury maid dress, high-class service tools, social event accessories, noble etiquette implements, elegant serving ware, sophisticated service badge, refined slippers, aristocratic jewelry, banquet assistance tools, grace ornaments, formal event gear, gentle, standing, village, indoor light, peaceful, classic maid scheme, eye-contact, full_shot, from_below, turn_one's_back,"
71,人类,法师,"human girl, silver hair, short hair, bob cut, asymmetric bangs, streaked hair, red eyes, curvy build, huge breasts, silver-blue color scheme, alluring sorceress set, sheer satin robe, gilded trims, ornate wand, tome with clasps, slit brocade cape, beaded cords, gemstone rings, arcane brooch, spell components, provocative mystical ornaments, ritual accessories, focused, casting, moonlit grove, starlight, magical, silver-blue color scheme, eye-contact, full_shot, dynamic_angle, elegant composition,"
72,人类,医师,"human girl, silver hair, short hair, hime cut, swept bangs, braid detail, green eyes, curvy build, huge breasts, healing green scheme, revealing herbalist outfit, botanical patterns, plant guide, herb scissors, collection basket, dried herbs, essence vials, nature jewelry, green ribbons, healing charm, alluring natural healer ornaments, flower crown, caring, standing, herbalist hut, sunlight, warm, healing green scheme, looking_back, portrait, from_below, turn_one's_back,"
73,人类,吟游诗人,"human girl, silver hair, short hair, curly hair, long bangs, silk bow, green eyes, curvy build, huge breasts, vibrant multi-color scheme, seductive bard outfit, revealing colorful cloak, musical instrument, feathered hat, slit performance costume, song sheets, lute strings, artistic accessories, performance jewelry, alluring entertainer ornaments, decorative bells, silk scarves, smiling, dancing, marketplace, stage light, lively, vibrant multi-color scheme, looking_outside, panorama, from_above, rule of thirds,"
74,人类,骑士,"human girl, silver hair, short hair, forehead, long bangs, streaked hair, golden eyes, curvy build, huge breasts, blue-gold color scheme, torn plate armor, heraldic cut-out surcoat, ornate shield, rapier, cape, plume helm, waist straps, engraved vambraces, silk scarf, crest medallion, alluring chivalric accessories, sword belt, serious, praying, cathedral, divine light, romantic, blue-gold color scheme, sideways_glance, portrait, dynamic_angle, aerial,"
75,人类,牧师,"human girl, (silver hair:1.2), silver to white gradient hair, short hair, curly hair, long bangs, ribbon, golden eyes, curvy build, huge breasts, silver-blue color scheme, revealing holy vestments, slit blessed robes, ceremonial attire, gilded crosier, holy symbol, rosary beads, sheer stole, embroidered trim, reliquary pendant, lace gloves, provocative sacred accessories, incense thurible, serene, casting, starlit plains, starlight, peaceful, silver-blue color scheme, eye-contact, upper_body, foreshortening, turn_one's_back,"
76,人类,女王,"human girl, (silver hair:1.2), silver to white gradient hair, short hair, bob cut, crossed bangs, flower accessory, purple eyes, curvy build, huge breasts, white-gold color scheme, seductive imperial regalia, ornate crown, royal scepter, revealing ermine cape, sheer silk gown, golden embroidery, jeweled waist chain, royal rings, lace gloves, pearl choker, alluring imperial ornaments, royal seal, majestic, walking gracefully, throne room, chandelier light, regal, white-gold color scheme, looking_at_viewer, panorama, from_below, aerial,"
77,人类,公主,"human girl, silver hair, short hair, hime cut, crossed bangs, delicate hair ornament, golden eyes, curvy build, huge breasts, rose-gold color scheme, alluring ballroom gown, sparkling tiara, revealing elegant dress, silk fan, dance invitation, pearl necklace, satin slippers, elbow gloves, jeweled hairpin, lace petticoat, seductive noble ornaments, masquerade mask, cheerful, sitting elegantly, castle, sunlight, romantic, rose-gold color scheme, looking_at_viewer, profile, dynamic_angle, symmetric composition,"
78,人类,王后,"human girl, (silver hair:1.2), silver to white gradient hair, short hair, disheveled hair, crossed bangs, jeweled hairpin, brown eyes, curvy build, huge breasts, deep crimson scheme, seductive ceremonial attire, queen's crown, revealing velvet robe, imperial train, precious gems, golden chains, silk undergarments, royal rings, pearl jewelry, court accessories, alluring majestic ornaments, ermine trim, dignified, standing gracefully, royal palace, royal lighting, regal, deep crimson scheme, looking_afar, medium_shot, from_above, rule of thirds,"
79,人类,战士,"human girl, silver hair, short hair, hair between eyes, centre parting bangs, streaked hair, brown eyes, curvy build, huge breasts, iron-blood scheme, revealing heavy armor, reinforced plate, battle axe, shield, war banner, metal boots, armored gloves, sword belt, combat accessories, warrior insignia, alluring militant ornaments, victory medals, serious, battle ready, battlefield, sunlight, epic, iron-blood scheme, looking_away, cowboy_shot, from_below, aerial,"
80,人类,学者,"human girl, (silver hair:1.2), silver to white gradient hair, short hair, hair between eyes, asymmetric bangs, braid detail, pink eyes, curvy build, huge breasts, white-silver color scheme, transparent scholar robes, revealing academic gown, library attire, books, quill, scroll case, ribbon bookmarks, spectacles, chain necklace, cuffed sleeves, alluring scholarly accessories, ink well, thoughtful, reading, study room, candlelight, scholarly, white-silver color scheme, looking_outside, medium_shot, cinematic_angle, turn_one's_back,"
81,人类,商人,"human girl, (silver hair:1.2), silver to white gradient hair, short hair, hime cut, centre parting bangs, ribbon, rainbow eyes, curvy build, huge breasts, obsidian-purple color scheme, alluring wealthy attire, luxurious fabrics, jeweled accessories, money bag, business documents, seal ring, silk tie, golden chains, expensive jewelry, trade goods, seductive prosperity ornaments, merchant badge, gentle, daily life pose, trading post, sunlight, peaceful, obsidian-purple color scheme, gradient, medium_shot, foreshortening, symmetric composition,"
82,人类,盗贼,"human girl, (silver hair:1.2), silver to white gradient hair, short hair, curly hair, crossed bangs, flower accessory, golden eyes, curvy build, huge breasts, dark color scheme, alluring burglar gear, dark leather suit, face mask, climbing tools, lock picks, stolen jewels, silent boots, arm bracers, utility belt, stealth accessories, seductive criminal ornaments, dark vision potion, mysterious, crouching, alleyway, shadow, tense, dark color scheme, looking_down, profile, dutch angle, turn_one's_back,"
83,人类,教师,"human girl, (silver hair:1.2), silver to white gradient hair, short hair, curly hair, centre parting bangs, braid detail, golden eyes, curvy build, huge breasts, academy blue color scheme, magical instructor outfit, enchanted teaching robes, spell demonstration wand, talent assessment crystals, magic training tools, mana control devices, arcane lesson scrolls, mystical teaching aids, power development accessories, magical education badges, potential awakening gems, spell practice orbs, encouraging, teaching pose, library, sunlight, educational, academy blue color scheme, looking_back, portrait, front view, turn_one's_back,"
